[INFO]	2023-01-08 17:58:40,887	django.utils.autoreload.run_with_reloader:677	Watching for file changes with StatReloader
[DEBUG]	2023-01-08 17:58:42,094	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1665793712.9095438
[DEBUG]	2023-01-08 17:58:42,094	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\PIL\ImageDraw.py first seen with mtime 1665927988.3611271
[DEBUG]	2023-01-08 17:58:42,094	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\DLLs\_queue.pyd first seen with mtime 1654500276.0
[DEBUG]	2023-01-08 17:58:42,095	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\DLLs\_uuid.pyd first seen with mtime 1654500276.0
[DEBUG]	2023-01-08 17:58:42,095	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\linalg\_misc.py first seen with mtime 1667698055.401838
[DEBUG]	2023-01-08 17:58:42,095	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\distributions\chi2.py first seen with mtime 1668303550.553016
[DEBUG]	2023-01-08 17:58:42,095	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\allauth\socialaccount\templatetags\socialaccount.py first seen with mtime 1639855608.0
[DEBUG]	2023-01-08 17:58:42,095	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1665793715.6617603
[DEBUG]	2023-01-08 17:58:42,096	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\csgraph\_traversal.cp310-win_amd64.pyd first seen with mtime 1667698055.7875183
[DEBUG]	2023-01-08 17:58:42,096	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\onnx\_type_utils.py first seen with mtime 1668303536.8591125
[DEBUG]	2023-01-08 17:58:42,096	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\distributed\rpc\__init__.py first seen with mtime 1668303550.5666692
[DEBUG]	2023-01-08 17:58:42,096	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1665793715.3897552
[DEBUG]	2023-01-08 17:58:42,096	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1665793715.503755
[DEBUG]	2023-01-08 17:58:42,097	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1665793712.9135444
[DEBUG]	2023-01-08 17:58:42,097	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1665793715.4197543
[DEBUG]	2023-01-08 17:58:42,097	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\linalg\_interface.py first seen with mtime 1667698055.7995553
[DEBUG]	2023-01-08 17:58:42,097	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\typing_extensions.py first seen with mtime 1667697862.351656
[DEBUG]	2023-01-08 17:58:42,097	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\urllib\response.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,098	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\distributions\relaxed_bernoulli.py first seen with mtime 1668303550.523723
[DEBUG]	2023-01-08 17:58:42,098	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1665793713.4105642
[DEBUG]	2023-01-08 17:58:42,098	django.utils.autoreload.tick:394	File C:\Users\kyusa\.vscode\extensions\ms-python.python-2022.20.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevconsole_code.py first seen with mtime 1671268356.8611348
[DEBUG]	2023-01-08 17:58:42,098	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\distributions\kl.py first seen with mtime 1668303550.543881
[DEBUG]	2023-01-08 17:58:42,099	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1665793715.605754
[DEBUG]	2023-01-08 17:58:42,099	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\linalg\_decomp_polar.py first seen with mtime 1667698055.3638449
[DEBUG]	2023-01-08 17:58:42,099	django.utils.autoreload.tick:394	File C:\Users\kyusa\.vscode\extensions\ms-python.python-2022.20.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_concurrency_analyser\__init__.py first seen with mtime 1671268356.8728142
[DEBUG]	2023-01-08 17:58:42,099	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\PIL\Image.py first seen with mtime 1665927988.3581262
[DEBUG]	2023-01-08 17:58:42,099	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\opt_einsum\backends\cupy.py first seen with mtime 1667697866.290304
[DEBUG]	2023-01-08 17:58:42,099	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\numpy\_version.py first seen with mtime 1666432530.15854
